quantile,term,estimate,std.error,t.value,p.value
0.5,neighbourhood_groupBrunnenstr. Süd,-2.9041095890410884,6.732675989200563,-0.4313455145768751,0.6662277413176401
0.5,neighbourhood_groupDüsseldorfer Straße,-12.506849315068488,8.982324138319541,-1.3923845457450095,0.1638412112672316
0.5,neighbourhood_groupFrankfurter Allee Nord,-39.08219178082191,5.769025034976758,-6.7744881576821525,1.3287149158713873e-11
0.5,neighbourhood_groupFrankfurter Allee Süd FK,-34.739726027397246,5.911400628030982,-5.8767334872663906,4.336840442320522e-9
0.5,neighbourhood_groupNeuköllner Mitte/Zentrum,-48.136986301369845,5.558489544488125,-8.660083987942938,0
0.5,neighbourhood_groupOther,-49.98630136986301,4.4498244372086155,-11.233319892777505,0
0.5,neighbourhood_groupPrenzlauer Berg Nordwest,-48.72602739726026,6.084889127405309,-8.007709980746649,1.3322676295501878e-15
0.5,neighbourhood_groupPrenzlauer Berg Süd,-22.986301369863018,6.6540889752639245,-3.45446258012372,5.539935067107038e-4
0.5,neighbourhood_groupPrenzlauer Berg Südwest,-9.178082191780822,6.11486861623399,-1.5009451171877177,0.13340568351555415
0.5,neighbourhood_groupReuterstraße,-46.397260273972584,5.086036867793393,-9.122478165224608,0
0.5,neighbourhood_groupSchöneberg-Nord,-44.917808219178085,5.803517965078871,-7.739755177714461,1.1102230246251565e-14
0.5,neighbourhood_groupSüdliche Friedrichstadt,-20.232876712328764,7.909906565928336,-2.557916018816356,0.010546777409986774
0.5,neighbourhood_groupsüdliche Luisenstadt,-36.26027397260275,6.048849714601148,-5.994573461640995,2.1206050249134023e-9
0.5,neighbourhood_groupTempelhofer Vorstadt,-40.00000000000001,5.00491446591388,-7.992144575580903,1.3322676295501878e-15
0.5,reviews_scaled,-1.5519525144230484,0.9365313512967023,-1.6571282021410672,0.09752925413988756
0.5,is_superhost:room_type_cleanPrivate room,-19.42465753424659,2.848215774843779,-6.819938891502,9.709344439556844e-12
0.75,(Intercept),235.4575912785932,6.69962962194052,35.144866890476536,0
0.75,is_superhost,31.06069200226886,4.256043651086857,7.298020074191897,3.1752378504279477e-13
0.75,room_type_cleanPrivate room,-67.94327850255247,3.328721486325196,-20.411223582889694,0
0.75,neighbourhood_groupBrunnenstr. Nord,-14.117413499716376,22.00311137707717,-0.6416098731574795,0.521143254494584
0.75,neighbourhood_groupBrunnenstr. Süd,18.133295519001695,13.462103757164947,1.3469882453810829,0.1780187510254012
0.75,neighbourhood_groupDüsseldorfer Straße,-21.415768576290407,16.865375682221288,-1.2698067911327904,0.20418708322751766
0.75,neighbourhood_groupFrankfurter Allee Nord,-79.14407260351673,8.40476956078279,-9.416566632928069,0
0.75,neighbourhood_groupFrankfurter Allee Süd FK,-67.11344299489505,7.532123605414667,-8.910294959398804,0
0.75,neighbourhood_groupNeuköllner Mitte/Zentrum,-75.60294951786723,11.424739409767433,-6.617476933717321,3.867484110742225e-11
0.75,neighbourhood_groupOther,-77.05672149744754,6.764019382816783,-11.39214971695695,0
0.75,neighbourhood_groupPrenzlauer Berg Nordwest,-74.11344299489505,9.43423178076266,-7.8558005269723985,4.440892098500626e-15
0.75,neighbourhood_groupPrenzlauer Berg Süd,-47.97277368122516,13.177066382008572,-3.640626243389441,2.7353822782827386e-4
0.75,neighbourhood_groupPrenzlauer Berg Südwest,-10.056721497447535,14.063920302470217,-0.7150724180142823,0.47458329196095783
0.75,neighbourhood_groupReuterstraße,-82.51786727169598,7.962304528179396,-10.363565847005344,0
0.75,neighbourhood_groupSchöneberg-Nord,-70.08508224617128,11.93537274284937,-5.872048050460772,4.4607473270730225e-9
0.75,neighbourhood_groupSüdliche Friedrichstadt,-45.91888825865002,9.65275219608146,-4.75707729006975,1.9954567194169215e-6
0.75,neighbourhood_groupsüdliche Luisenstadt,-71.47249007373794,8.725760807450888,-8.19097516547874,4.440892098500626e-16
0.75,neighbourhood_groupTempelhofer Vorstadt,-68.02836074872376,7.859403142158816,-8.655665006393573,0
0.75,reviews_scaled,-3.2130610763721625,1.2283046171808123,-2.6158503610828525,0.008915773408012306
0.75,is_superhost:room_type_cleanPrivate room,-44.181508791832115,5.585404496284518,-7.9101717380043315,2.886579864025407e-15
0.9,(Intercept),321.1191722783504,8.357969575044141,38.420715628969546,0
0.9,is_superhost,42.87048192771084,6.671303597503833,6.4261026801046,1.3772272211554082e-10
0.9,room_type_cleanPrivate room,-73.96423192771083,9.073478005677382,-8.151695731386635,4.440892098500626e-16
